work_year,experience_level_encoded,company_size_encoded,remote_ratio,job_Data_Engineer,job_Data_Scientist,job_ML_AI_Engineer,job_Manager_Lead,job_Other,salary_in_usd
2023,1,1,100,1,0,0,0,0,125000
2024,2,1,0,0,0,0,1,0,128300
2025,2,1,0,0,1,0,0,0,267153
2025,1,1,100,0,0,0,1,0,167400
2024,0,1,0,1,0,0,0,0,144000
2024,2,1,100,1,0,0,0,0,152320
2024,2,1,0,0,1,0,0,0,127300
2024,2,1,0,1,0,0,0,0,284400
2024,1,1,100,0,0,0,0,0,101000
2025,2,1,0,1,0,0,0,0,157000
2024,1,1,100,0,0,0,0,1,66300
2025,2,1,0,0,0,0,0,1,56000
2023,0,2,0,1,0,0,0,0,76000
2024,3,1,0,1,0,0,0,0,229986
2025,0,1,0,0,0,0,0,1,70000
2024,2,1,0,1,0,0,0,0,159550
2024,0,1,100,0,0,0,0,0,47717
2025,1,1,0,1,0,0,0,0,136800
2025,0,1,100,0,0,0,0,0,41440
2024,2,1,0,0,0,0,1,0,125611
2024,2,1,100,1,0,0,0,0,163000
2025,1,1,0,0,0,0,0,1,63300
2025,2,1,0,0,0,0,0,1,216000
2025,1,1,0,1,0,0,0,0,83600
2024,2,1,0,0,1,0,0,0,264200
2024,2,1,0,1,0,0,0,0,98500
2024,0,1,100,0,1,0,0,0,65007
2024,2,1,0,0,0,0,1,0,142000
2024,1,1,0,0,0,0,1,0,106000
2024,1,1,0,0,0,0,0,1,159600
2025,0,1,0,0,0,0,0,0,91000
2025,1,1,100,1,0,0,0,0,150000
2025,2,1,0,0,1,0,0,0,355000
2024,2,1,0,0,0,0,0,0,155000
2025,2,1,0,1,0,0,0,0,128500
2024,2,1,0,0,0,0,1,0,123000
2025,1,1,0,1,0,0,0,0,120600
2024,0,1,100,0,0,0,0,1,65000
2025,2,1,0,0,0,0,0,1,170000
2023,2,1,100,0,1,0,0,0,165000
2024,2,1,0,0,0,0,0,1,167900
2025,2,1,100,1,0,0,0,0,92857
2022,1,2,50,1,0,0,0,0,35610
2025,1,1,0,1,0,0,0,0,75600
2025,2,1,100,0,0,0,0,0,160000
2024,2,1,100,1,0,0,0,0,144500
2024,2,1,0,0,1,0,0,0,60000
2024,2,1,0,0,0,0,0,0,592500
2025,1,1,0,1,0,0,0,0,85600
2024,1,1,0,0,0,0,0,0,60000
2024,2,1,0,0,0,0,0,1,78000
2024,1,1,100,0,0,0,1,0,209000
2024,1,1,0,0,0,0,1,0,95000
2025,1,1,0,0,1,0,0,0,64158
2024,2,1,100,0,0,0,0,0,30204
2024,1,1,0,1,0,0,0,0,180583
2024,3,1,0,0,0,0,1,0,267500
2025,2,1,100,1,0,0,0,0,280500
2024,2,1,0,1,0,0,0,0,154560
2024,1,1,0,1,0,0,0,0,127400
2025,0,1,0,1,0,0,0,0,56708
2023,2,1,0,0,0,0,0,0,120000
2024,2,1,0,0,1,0,0,0,148100
2022,2,1,0,1,0,0,0,0,102100
2024,2,1,100,0,1,0,0,0,224000
2024,0,1,0,0,0,0,0,0,102927
2022,2,2,0,0,1,0,0,0,144000
2024,2,1,0,1,0,0,0,0,62222
2024,1,1,0,0,0,0,0,1,140000
2025,0,1,0,1,0,0,0,0,60000
2025,2,1,0,0,0,0,0,1,130000
2024,1,1,100,0,0,0,1,0,90480
2024,2,1,0,0,0,0,1,0,160000
2024,0,1,100,1,0,0,0,0,60000
2025,2,1,0,0,1,0,0,0,73684
2023,2,1,0,0,1,0,0,0,290000
2025,2,1,0,1,0,0,0,0,223560
2023,1,1,100,1,0,0,0,0,150450
2025,2,1,100,0,1,0,0,0,110720
2024,2,1,0,1,0,0,0,0,117300
2024,2,1,100,0,1,0,0,0,152000
2024,2,1,0,1,0,0,0,0,160000
2024,2,1,0,0,0,0,1,0,250000
2024,2,1,0,1,0,0,0,0,122305
2025,1,1,0,0,1,0,0,0,91000
2024,0,1,0,0,0,0,0,0,68618
2024,1,1,0,1,0,0,0,0,150000
2025,1,1,0,0,1,0,0,0,56248
2024,3,1,0,0,0,0,0,1,90000
2024,2,1,0,0,1,0,0,0,158500
2024,1,1,0,1,0,0,0,0,138900
2025,2,1,0,0,0,0,1,0,158746
2025,1,1,0,0,0,0,0,1,130000
2024,2,1,0,1,0,0,0,0,86000
2024,2,1,0,1,0,0,0,0,157850
2024,2,1,0,1,0,0,0,0,136125
2025,0,1,0,0,0,0,0,0,32000
2024,0,1,0,0,1,0,0,0,270000
2024,1,1,0,0,1,0,0,0,245000
2025,2,1,0,1,0,0,0,0,174600
2024,1,1,0,0,0,0,1,0,116640
2025,2,1,0,1,0,0,0,0,230600
2024,2,1,0,1,0,0,0,0,98940
2023,0,1,100,0,0,0,0,0,60000
2025,2,1,0,1,0,0,0,0,215800
2025,1,1,0,0,0,0,0,1,120000
2025,0,1,0,0,0,0,0,0,84600
2022,2,1,0,0,1,0,0,0,139000
2024,1,1,0,0,0,0,0,1,260571
2024,2,1,0,1,0,0,0,0,116800
2023,1,1,0,0,1,0,0,0,102000
2025,0,1,0,0,0,0,0,0,109400
2024,0,1,0,0,0,0,0,0,203280
2025,1,1,0,1,0,0,0,0,154500
2024,2,1,0,0,0,0,0,0,149500
2024,1,1,0,0,0,0,0,0,140663
2024,2,1,100,0,0,0,0,0,114750
2024,1,1,0,0,1,0,0,0,170000
2024,2,1,0,1,0,0,0,0,152300
2023,2,1,100,1,0,0,0,0,226700
2025,3,1,0,0,0,0,0,1,198990
2024,2,2,0,0,1,0,0,0,247600
2024,0,1,100,0,0,0,0,0,170000
2023,2,1,100,1,0,0,0,0,232760
2024,1,1,100,0,0,0,1,0,67000
2024,1,1,0,0,0,0,0,0,60300
2020,1,1,100,0,1,0,0,0,118000
2024,2,1,100,1,0,0,0,0,145000
2024,1,2,0,1,0,0,0,0,223600
2024,1,1,0,0,1,0,0,0,338500
2024,1,1,0,0,0,0,1,0,399600
2024,1,1,0,0,1,0,0,0,175420
2025,0,1,0,0,0,0,0,0,21473
2023,2,1,100,0,0,0,0,0,81900
2024,1,1,0,1,0,0,0,0,312200
2023,2,1,100,0,0,0,0,0,132320
2023,2,1,100,0,0,0,0,0,140000
2024,2,1,100,0,1,0,0,0,239000
2024,1,1,0,0,1,0,0,0,185630
2024,2,1,100,1,0,0,0,0,190000
2025,1,1,0,0,0,0,0,1,42905
2025,2,1,0,0,0,0,0,0,139200
2023,2,1,100,0,0,0,1,0,143000
2024,2,1,0,1,0,0,0,0,55200
2025,2,1,0,0,0,0,0,0,65178
2024,2,1,0,1,0,0,0,0,142000
2024,2,1,100,1,0,0,0,0,157800
2025,0,1,0,0,1,0,0,0,19284
2024,1,1,0,1,0,0,0,0,529000
2024,2,1,0,0,1,0,0,0,106875
2024,1,2,0,0,1,0,0,0,178400
2025,2,1,0,1,0,0,0,0,149400
2024,2,1,0,1,0,0,0,0,155000
2024,2,1,0,1,0,0,0,0,92307
2025,2,1,0,1,0,0,0,0,166600
2025,1,1,0,0,0,0,1,0,157975
2024,2,1,100,1,0,0,0,0,80000
2024,2,1,0,0,1,0,0,0,80290
2024,0,1,0,0,0,0,0,0,96600
2025,2,1,0,1,0,0,0,0,156000
2025,1,1,100,0,0,0,0,1,108300
2025,2,1,100,0,0,0,0,0,229100
2022,1,1,0,0,0,0,0,0,61566
2025,2,1,0,0,0,0,0,0,112320
2023,2,1,0,1,0,0,0,0,190000
2024,2,1,0,0,0,0,0,1,72000
2024,2,1,0,1,0,0,0,0,129200
2024,0,1,0,0,1,0,0,0,137750
2025,2,1,0,1,0,0,0,0,134010
2025,1,1,0,1,0,0,0,0,82142
2025,1,1,0,0,0,0,0,0,211111
2024,2,1,100,1,0,0,0,0,111400
2023,2,1,0,1,0,0,0,0,132300
2023,2,1,100,0,1,0,0,0,136000
2025,2,1,0,0,0,0,0,0,180000
2025,2,1,0,1,0,0,0,0,245000
2025,2,1,100,0,0,0,0,0,123700
2024,1,1,0,0,1,0,0,0,146000
2025,2,1,0,1,0,0,0,0,217000
2024,1,1,0,1,0,0,0,0,75600
2025,1,1,0,1,0,0,0,0,151300
2024,1,1,0,0,0,0,0,1,105000
2024,1,1,0,1,0,0,0,0,175000
2025,2,1,0,0,0,0,1,0,251600
2024,2,1,0,0,1,0,0,0,240000
