job_title,employee_residence,company_location,experience_level,employment_type,salary_in_usd,salary_log1p
Solutions Architect,US,US,SE,FT,180000,12.100717685412471
Software Engineer,US,US,MI,FT,93948,11.45050736082541
Data Scientist,IT,IT,MI,FT,75600,11.233224789593368
Product Manager,US,US,MI,FT,308000,12.637858308703688
Data Engineer,US,US,SE,FT,166280,12.021434407300859
Engineer,US,US,EX,FT,288000,12.570719231334277
Software Engineer,LT,LT,MI,FT,37894,10.542574456246129
Data Scientist,US,US,SE,FT,209000,12.250094315624496
Research Engineer,US,US,SE,FT,360000,12.793862088206213
Data Analyst,US,US,EN,FT,104800,11.559818592808288
Software Engineer,US,US,SE,FT,134800,11.811554895830454
Data Scientist,US,US,SE,FT,182250,12.1131401368243
Data Scientist,US,US,MI,FT,150400,11.921060339411943
Machine Learning Engineer,DE,DE,SE,FT,140358,11.851958705134866
Data Analyst,US,US,SE,FT,90000,11.407576060361786
Data Management Specialist,US,US,MI,FT,66000,11.097425172408931
Data Management Analyst,US,US,EN,FT,60000,11.002116507732017
Data Scientist,US,US,MI,FT,94000,11.451060699493427
Research Engineer,US,US,MI,FT,240960,12.392390373651455
Research Analyst,US,US,EN,FT,171200,12.050593583794214
AI Scientist,US,US,SE,FT,265200,12.4882433080258
Data Specialist,US,US,SE,FT,120800,11.701899842594283
Data Analyst,CA,CA,MI,FT,100000,11.51293546492023
Product Manager,US,US,SE,FT,173000,12.06105265381003
Data Scientist,US,US,SE,FT,145000,11.884495917930655
AI Architect,US,US,SE,FT,105200,11.56362808494399
Data Scientist,ES,ES,MI,FT,38776,10.565582566340604
Analyst,GB,GB,EN,FT,68354,11.132469992366092
Data Analytics Consultant,US,US,MI,FT,113000,11.635151947212842
Developer,NL,NL,SE,FT,55162,10.918047717665434
Data Analyst,US,US,SE,FT,278000,12.535379989788607
Data Analyst,US,US,EN,FT,96978,11.482249739201768
Research Engineer,US,US,SE,FT,145000,11.884495917930655
Data Engineer,US,US,MI,FT,165600,12.017336559562407
Machine Learning Engineer,CA,CA,MI,FT,160100,11.983560145061489
Software Engineer,GB,GB,MI,FT,300000,12.611541086966115
